,course_name,semester,prerequisites,ects,effects,aims,program_content,program_content_ensuring_outcomes,language
0,Introduction to Computer Science,1,General computer literacy. Simple usage of GNU/Linux operating system (how to run terminal). Programming basics.,5.0,,"To acquaint students with the history of computer science.; To acquaint students with the basics of computer science such as: number systems, algorithmics.; Making students aware of the principles of operation of digital machines and logic circuits.; Showing students basic programming structures based on the selected programming language.; Show Students typical operation principles of modern base software.","1. Modern computers and their architectures. 2. Algorithms, their description methods and simple implementations. 3. Low-level programming. 4. Program automation.
The purpose of the course is to introduce the students to the fields of computer science and engineering. The course covers fundamentals of algorithmics, data representation and computer arithmetic, as well as organization and architecture of modern computer systems hardware. The last part of the course deals with basics of programming: programming constructs, building executable files, interfacing with libraries and services provided by operational systems as well as automation facilities provided by operating systems. 1. Introduction. Theory of computation. Core concepts of computer science. Algorithms. History of computing. 2. Boolean algebra and digital logic. Combinational and sequential logic circuits. 3. Number systems and data representation. Integer and floating point datatypes. 4. Computer arithmetic. Basic operations, programming the CPU. 5. Operating systems 6. Programming basics.","This module includes material on fundamentals of computer science and related topics (logical circuits, computer arithmetic and architectures, data representation and alghoritms)",English
1,Introduction to Unix systems,1,,3.0,,giving the overview of the basics of principles and architecture of the UNIX operating systems; providing a detailed overview of useful commands and programs in average Unix operating system environment,"* Introduction to the GNU/Linux system * Working with files and commands * Shell and the system environment * Processes and tasks * Bash scripts and filters * SED and AWK * Practical use of encryption tools * Basics of administration * Basics system programming in Unix
* Introduction to GNU/Unix/Linux systems * Basics of system architecture * File subsystem * Process subsystem * Shells & scripts * Programming in the Unix system * Cryptographic methods and tools * Security model",The course aims to introduce students to the basics of using and administering the Unix operating systems.,English
2,Programming Languages I,1,n/a,5.0,,To acquaint students with the procedural paradigm of software development.,"Operators, expressions, and statements: The structure of a simple program, compiling and linking, C data types, constants, local variables, global variables, variable initialization, blocks, scope, operators, C Control statements: looping, branching and jumps, storage classes, type qualifiers
Operators, expressions, and statements: student is able to declare and initialize integer, float, double and character variables, student is able to determine the size of a variable or type using the sizeof operator, student is able to declare local and global variables, student is able to create a block of code and use it to limit the scope of visibility of variables, student is able to implement the program using C control statements, student is able to construct the correct expressions using arithmetic, logic, bit and relational operators, student is able to use the priorities of the operators when evaluating expressions.
Functions: Defining and calling functions, function declarations, formal and actual arguments, return statement, the exit and abort functions, functions category, function prototypes, parameter passing, call-by-value, call-by-reference, recursion
Functions: student is able to declare, define and call the function, student is able to pass variables to function by value and by reference, student is able to use arguments and return values, student is able to use recursion, student is able to define a function with a variable parameter list.
Arrays, pointers and strings: One-dimensional arrays, multidimensional arrays, array subscripting, array initialization, pointer variables, the address and indirection operators, pointers as arguments, pointers as return values, pointers arithmetic, using pointers for array processing, pointers and multidimensional arrays, string literals, string variables, reading and writing strings, using C string library, string idioms, arrays of strings, pointers to pointers, pointer to functions, the qsort function, dynamic storage allocation, the memory leaks, the ""dangling pointer"" problem, command line arguments
Arrays, pointers and strings: student is able to declare one-dimensional and multi-dimensional arrays, student is able to declare the pointer and get the address of the variable, student is able to use pointers for array processing, student is able to declare, read and write strings and arrays of strings, student is able to use C string library, student is able to sort an array by calling the qsort function, student is able to use the functions of the dynamic storage allocation, student is able to process the command line arguments.
Structures, unions, and enumerations: Declaring and initializing structure variables, structure types, arrays of structures, nested structures, pointers to structures, passing structures to functions as an argument, using unions to save space, using enumerations, bit fields, bit wise operators
Structures, unions, and enumerations: student is able to declare and initialize structure variables and arrays of structures, student is able to pass structures to functions by value and by reference, student is able to use unions and enumerations to save space.
The C preprocessor: Preprocessing directives, macro definitions, conditional compilation
The C preprocessor: student is able to declare function-like macros, student is able to use header files, student is able to use directives of the conditional compilation.
Abstract Data Types: Program design for Abstract Data Types (ADT), dividing a program into files, Linked List: declaring a node type, inserting and deleting a node, ordered lists, implementing the Stack ADT and the Queue ADT using Linked List, the Binary Search Tree ADT implementation
Abstract Data Types: student is able to implement linked list ADT, student is able to implement the stack ADT and the queue ADT using linked list, student is able to implement binary search tree ADT,
The standard library: Using the standard library, C89 library overview, C99 changes, C11 changes, streams, file operations, formatted input/output, mathematics, error handling, calling functions with Variable Argument List, pseudo-random sequence generation function, searching and sorting utilities, date and time manipulation functions
The standard library: student is able to compile a program that uses mathematical functions, student is able to generate pseudo-random sequences, student is able to implement file operations, student is able to use formatted input/output functions, student is able to use searching and sorting utilities of the standard library, student is able to implement date and time manipulations.
Static, shared dynamic and loadable libraries: Building a multiple-file program, Makefiles, building a static C library, building a shared dynamic C library, linking with static and dynamic C libraries, dynamic loading and un-loading of shared libraries
Static, shared dynamic and loadable libraries: student is able to build a multiple-file program, student is able to build a static C library, student is able to build a shared dynamic C library, student is able to link a program with static and dynamic C libraries, student is able to write makefiles.","Practical presentation of the procedural paradigm of software development using the C language, taking into account the dynamic and static model of memory management.",English
3,Higher algebra,1,Prerequisites and additional requirements not specified,5.0,,,"Groups: Definitions and examples Basic properties of groups Homomorphisms and isomorphisms Subgroups
Program of the classes coincides with the program of the lectures.
Cyclic Groups: Definitions Subgroups of cyclic groups
Permutation Groups: Definitions and notation Transpositions The alternating groups Dihedral groups
Cosets and Lagrange's Theorem: Cosets Lagrange's theorem Fermat's and Euler's theorems
Introduction to Cryptography: Private Key Cryptography Public Key Cryptography The RSA Cryptosystem
Normal Subgroups and Factor Groups: Normal subsgroups Factor groups The simplicity of the alternating group
Matrix Groups and Symmetry: Some facts from linear algebra The general and special linear groups The orthogonal group Symmetry groups Wallpaper groups
Rings and fields: Definitions and examples Integral domains and fields Polynomial rings Irreducible polynomials Finite fields",The goal of this course is to introduce the study of abstract algebra and to gain an understanding of the utility and importance of several algebraic structures,English
4,Mathematical Analysis,1,Prerequisites and additional requirements not specified,7.0,,,"Program of the classes coincides with the program of the lectures.
The Real Numbers: Axioms and properties of real numbers Classes of real numbers Basic lemmas on completeness
Limits: The limit of a sequence The limit of a function Series. Convergent series
Continuous Functions: Basic definitions and examples Properties of continuous functions
Differentiation: Definitions of differentiable functions The basic rules of differentiation The basic theorems of mathematical calculus Properties of differentiable functions Taylor's formula Antiderivatives
Integration: Definition of the integral Properties of the integral The integral and the derivative, the Newton--Leibniz formula Integration by parts Change of variable in an integral Applications of integration",This course is intended for students in computer science. It contains an introduction to differential and integral calculus of functions of one variable,English
5,Discrete mathematics,1,,3.0,,Introducing discrete mathematics.,"Modular arithmetic (4h)
Modular arithmetic and elements of abstract algebra (4h): Divisibility and modular arithmetic, primes and greatest common divisors, (solving congruences, applications of congruence.
Recurrence relations (4h): Recurrence relations, solving recurrence relations.
Recurrence relations (3h)
Basic definitions in graph theory (2h): Definition of a graph, a multigraph and a digraph. The order and the size of the graph. The degree of a vertex. The minimum and maximum degree of the graph. Handshaking lemma. Graph isomorphism. Subgraphs. Path and cycle definition. Conected graphs. Bipartite graphs. Matrix representation of the graph.
Test (1h)
Elements of graph theory (2h)
Eulerian and Hamiltonian graphs (1h): Euler's theorem and Fleury's algorithm. Ore's theorem. Dirac's theorem.
Eulerian and Hamiltonian graphs (1h)
Trees (2h): Definition of trees. A spanning tree. Kruskal's and Prim's algorithms.
Trees - algorithms (1h)
Flows in networks (2h): Max-flow min-cut theorem. Ford-Fulkerson algorithm.
Flows in networks (2h)
Test (1h)","Acquainting with the basic concepts, methods and problems of discrete mathematics.",English
7,Physics I,2,"Background: It will be assumed that the student has taken physics and mathematics (algebra, trigonometry and vector algebra) at the level of elementary school. Calculus is not assumed, some essential concepts will be developed as the course progresses (derivatives and integrals are used slowly at first, and routinely later on).",5.0,,1. The course aims at providing the student a good understanding of physics at the elementary level. This part covers classical mechanics and thermodynamics,"Math versus Phys: Exercises and applications 1.Equations, formulas, and vectors, subscripts and superscripts, power-of-a notation, scientific notation( rounding, error, precedence), significant figures (how accurate are we?) 2. Basics of geometry: rectangular and polar coordinates (the equation of parabola, the equation of circle, graphic solution to pairs of equations), triangles. 3. Logarithms, exponentials, and trigonometry. 4. Dimensions as algebraic quantities. 4. Elementary vector algebra - dot and cross products. Short Quiz and Test
Introduction: Topics The nature of physics, why study Physics?, scientific methods-models, scientific measurements, standards and units, dimensional analysis.scientific notation and significant figures, SI unit system, scales on our world: length, mass, time, standards, scalars and vectors.
Mechanics: introduction to kinematics: Topics Position vector, displacement, distance, time; kinematics of straight - line motion average and instantaneous velocity, average and instantaneous acceleration, motion in two and three dimensions (three-dimensional coordinate systems), velocity and acceleration in a plane (projectile motion), uniform circular motion, relative motion - Galilean transformation, computer solutions and difference formulas
Kinematic I: Exercises and applications 1.General Problem- Solving Strategy: read, draw, label, identify, equations, solve, substitute, check, simulate - problem - solving practice 2. Motion in one -dimension (1-D) : displacement, distance, average speed, average velocity, instantaneous velocity (derivative and integral), average acceleration, instantaneous acceleration, motion diagrams ( 3. 1-D motion with constant acceleration: kinematic equations derived from calculus, freely falling objects, bouncing ball.
Kinematic II: Exercises and applications 1. Vector quantities, vector algebra, geometry using vectors. 2. Motion in two (2-D) and three dimensions (3-D): the displacement, velocity, and acceleration vectors (in a plane), 2-D motion with constant acceleration, ideal projectile motion (projectile's trajectory, maximum height and range of a projectile. 3. Reducing motion in more than one dimension to one dimension (Aquathlon) 4. Uniform circular motion: tangential and radial acceleration, period, (the centripetal acceeration of the Earth) 5. Relative velocity and relative acceleration, Galilean transformation, (a boat crossing a river)
Dynamics: Topics Newton's Laws of Motion: Newton's First Law: inertia, inertial frames of reference; Newton's Second Law Motion: force and acceleration, superposition of forces, mass and weight;Newton's Third Law: forces and interactions, actions and reactions - defining of system, applying Newton's Laws, dynamics of circular motion, types of forces: contact and long-range, friction-kinetic and static, drag forces, spring force, free-body diagrams, fundamental forces of nature.
Dynamics I: Exercises and applications 1. The Laws of Motion: the concept of force, Newton's first law of motion (inertial frames), mass, Newton's second law, gravitational force and weight, Newton's third law, Galilean relativity. 2. Laws of Forces: the gravitational force, the Coulomb force, the uniform force of gravity, the elastic force, the sliding' friction force, the resistance force. Free-Body Diagrams. 3. The Fundamental Equation of Dynamics - some applications !!! 4. Non-inertial reference frames. Inertial forces (uniform and nonuniform circular motion, centrifugal force, fictitious forces in linear motion). 5. Numerical Modeling in Particle Dynamics
Momentum and Energy: Topics Impulse, collisions, center of mass, external forces and the center of mass - motion, conservation of momentum, work, power, mechanical energy: kinetic and potential, work-energy theorem, work and energy with varying forces, energy conservation, gravitational potential energy, elastic potential energy, conservative and nonconservative forces: friction and drag, the Law of Conservation of Energy, force and potential energy, machines
Systems of Particles and Extended Objects: Topics Center of mass and center of gravity, center-of-mass momentum, calculating the center of mass (volume integrals); rotation of rigid bodies: angular velocity and acceleration, polar coordinates, relating linear and angular kinematics, energy in rotational motion: rotational inertia and moment of inertia, moment of Inertia calculations, center of mass and center of gravity, parallel-axis theorem, torque and angular acceleration of the rigid body, work and power in rotational motion, combined translation and rotation: rolling without slipping and rolling friction, angular momentum of the rigid body, conservation of angular momentum, gyroscopes and precession; static equilibrium- stability of structures
Linear Momentum. The Law of Its Conservation.: Exercises and applications 1. The momentum· of a particle (a system), momentum and force, impulse, the law of momentum conservation. 2. Elastic collisions in 1-D (2-D and 3-D). 3. Totally (partially ) inelastic collisions. 4. The momentum of a system, center of mass of the system (volume integrals, examples), Newton's second law for a system of particles, center of gravity.
Gravitation: Topics Newton's Universal Law of Gravitation, gravitational potential energy, gravitational fields, projectile and satellite motion( escape speed), weight and weightlessness, Kepler's Laws and the motion of planets, black holes and event horizon, dark matter.
Energy Conservatlon Law: Exercises and applications 1. Force work and power, work done by a constant and by a varying force, , the work of the elastic force (spring). 2. Kinetic energy and the Work-Kinetic Energy Theorem. 3. Isolated system and non-isolated system, force work and conservative and non-conservative (dissipative) forces, 4. Work and potential energy, potential energy and force, potential energy of a particle in a field, conservation of mechanical energy (spring force, gravitational potential, molecular forces, potential energy and stability and many other applications !!!)
Mechanical waves: Exercises and applications 1. Basic variables of wave motion (frequency, period, amplitude, phase, velocity and wavelength) - wave function for a sinusoidal wave. 2. 1-D traveling waves- the speed of waves on strings 3. Wave equation - derivation and solution 4. Energy, power, and intensity of waves. Reﬂection, 5. Superposition principle and interference (sinusoidal waves).
Vibrations: Topics Simple harmonic motion (SHM)- equation of SHM, circular motion and SHM, displacement, amplitude, velocity, acceleration, period, frequency, angular frequency, energy in SHM, applications of SHM- simple and physical pendulum, damped oscillations, forced oscillations and resonance, resonance and music.
Solids and Fluids: Topics States of matter,tension, compression, and shear, pressure - Pascal's Principle, Archimedes' Principle- buoyant force, ideal fluid motion - Bernoulli's Equation, streamlines and the equation of continuity,viscosity, turbulence and research frontiers in fluid flow.
Gravitation: Exercises and applications 1. Newton's law of universal gravitation, gravitational constant, spherical mass distributions, gravitational potential energy. 2. Kepler's laws of planetary motion. 3. Energy considerations in planetary and satellite motion (satellite orbits, escape speed)
Periodic motion: Exercises and applications 1. Mathematical representation of Simple Harmonic Motion (SHM), the solution of Ordinary Differential Equation (ODE) for SHM. 2. Energy of the simple harmonic oscillator. 3. Comparing simple harmonic motion with uniform circular motion (period, frequency, angular frequency, amplitude). 6. The motion of a pendulum 7. Damped and forced oscillations-solution of ODE. Resonance.
Mechanical waves: Topics Coupled oscillators,derivation of the wave equation,types of waves, mathematical description of waves -wave function, particle velocity and acceleration in sinusoidal wave, wave speed and energy in wave motion, wave interference and the principle of superposition, beats, Doppler effect, reflection and standing waves, standing waves and resonance, normal modes, sound and hearing - speed of sound,sound intensity, decibel scale, music.
Thermodynamics: Exercises and applications 1. Temperature and the zeroth law of thermodynamics (thermal contact, thermal equilibrium, thermometer, gas thermometer, temperature scales, Kelvin temperature scale, thermal expansion). 2. Macroscopic description of an ideal gas- equation of state for an ideal gas, molar mass, Avogadro's number 3. Thermodynamic process (heat, work), pV -diagram, closed system, internal energy, adiabatic process, First Law of Termodynamics - some applications. 4. Empirical gas laws, adiabatic process, isobaric process, isovolumetric process, isothermal process (ideal gas) 5. Heat capacity, specific heat, calorimetry. 6. Heat engines and the Second Law of Thermodynamics- The Carnot Engine (models of gasoline and Diesel engines) 7. Entropy !!!! (entropy on a microscopic scale, disorder, the direction of time).
Thermodynamics: Topics Temperature and heat, laws of thermodynamics: the Zeroth Law (thermometers, Kelvin scale), thermal expansion, calorimetry and phases changes, mechanisms of heat transfer),the First Law (the thermodynamic system, work and heat, work done during volume changes, paths between thermodynamic states, internal energy, kinds of thermodynamic processes, cyclic processes, ideal gas, heat capacities of ideal gas,.energy transfer mechanisms, the Second Law (directions of thermodynamic processes and disorder), heat engines and efficiency, the Second Law statement, entropy, entropy and disorder, reversibility, statistical thermodynamics - probability distributions, microscopic interpretation of entropy- microscopic states, calculation of entropy, the Third Law (absolute zero); engines and refrigerators; kinetic theory of gases - assumptions of kinetic theory for an ideal gas, the equipartition of energy,the Boltzmann Distribution Law, Maxwell's Speed Distribution, molecular model for the pressure of an ideal gas molecular interpretation of temperature,
Dynamics II. Rotational Motion: Exercises and applications 1. Rotational kinematic equations: angular coordinates, the axis of rotation, angular displacement, angular speed, frequency and period of rotation, angular acceleration, rotational motion under constant angular acceleration, relations between angular and linear quantities (rotation of a rigid object about a fixed axis). 2. Rotational equilibrium and rotational dynamics: torque = moment of force, center of gravity, objects in equilibrium relationship between torque and angular acceleration, Newton's second law for rotation, work done by a torque, kinetic energy of rotation, calculation of moment of inertia, rotation about an axis through the center of mass (parallel-axis theorem), rolling without slipping. 3. The angular momentum of a particle, angular momentum of a rotating rigid object, the law of conservation of angular momentum, work, power, and energy in rotational motion 4. The motion of gyroscopes and tops (precessional motion).
Solids and fluids: Exercises and applications 1. Tension, compression, and shear (modulus of elasticity, Young's modulus, bulk modulus, shear modulus) 2. Pressure, pressure-depth relationship, gauge pressure and barometers (barometric pressure formula) 3. Pascal's Principle, Archimedes' Principle (buoyant force) 4. Ideal fluid motion - equation of continuity, Bernoulli's equation and its applications.",This course aims at providing the student an understanding of classical physics at the elementary level. It covers classical mechanics and thermodynamics together with several applications in each.,English
8,Algorithms and data structures,2,"Mathematical knowledge, (logic, matrices, graphs, logarithms etc.)",6.0,,,"1. Algorithm - basic concepts, algorithms and structures (2 hours) What is algorithm, algorithm and its analysis and correctness. Strategies for constructing algorithms, divide and conquer methods, dynamic programming, greedy methods, heuristics, and others. Elementary data structures: tables, lists and its variants, queues, stacks, other. Basic algorithms: binary search, Hoare selection, magic fives, other. 2. Introduction to computational complexity (2 hours) Time and memory complexity, basic definitions, notations and concepts. Classes of complexity of algorithms. Problems computationally difficult: NP-completeness, undecidability. 3. Recursion (2 hours) Recursion, assessment of recursive approach, ownership, recursion removal. 4. Sorting (6 hours) Internal sorting, basic classifications and problems. Simple algorithms, special and linear algorithms, Shell algorithm. Fast sorting algorithms: QuickSort and its analysis, sorting by merging, introspective sorting, others. Heap, heap sort, Priority queues. 5. Hashing (2 hours) Hashing tables, various methods and hash algorithms, applications. 6. Tree structures (6 hours) Trees and basic operations on trees, methods of searching, the problem of balancing trees. Binary trees, AVL trees, BST trees, red-black trees, splay trees, other trees. Trees and dictionary operations, B-trees, 2-3 trees. 7. Complex data structures (2 hours) Binomial heaps, Fibonacci mounds, data structures for disjoint sets. 8. Graph algorithms (4 hours) BFS and DFS search algorithms, properties, applications. Review of graph algorithms, minimal spanning trees, shortest paths, graph coloring, others. 9. Text algorithms (2 hours) Pattern search, prefix-suffixes, Knuth-Morris-Pratt algorithm, Boyer-Moore algorithm, Rabin-Karp algorithm, text data structures, other text algorithms.
The aim of the classes is to acquire practical skills in the design of algorithms and data structures discussed during the lectures. So, the classes should follow the topics presented on the lectures and should be their complement.",The aim of the module is to provide the students principles of the algorithm theory.,English
9,Logic in Computer Science,2,"Can read and write in English; reading English scientific text with full comprehension. Can listen to and understand the lecture. Basic knowledge of Mathematics with special focus on discrete mathematics. Open mind and willingness to study. Creative thinking, open mind, systematic work. No recording of the lecture/classes is allowed.",2.0,,"The goal is that the students understand foundations of logic, at least at some elementary level. And that they can apply it in professional work.","Logic in Computer Science: This is a lecture on foundations of Logic for Computer Science. Introduction to Logic and symbolic Knowledge Representation and Reasoning. Propositional Calculus: syntax, semantics, logical implication, inference, theorem proving. Design and analysis of logical models. Normal forms (CNF, DNF). The SAT problem. First Order Predicate Calculus: syntax, semantics, logical implication, inference, theorem proving. Design and analysis of logical models in FOPC. Normal forms (CNF, DNF). Resolution and Dual Resolution theorem proving. Introduction to Logic Programming and Constraint Programming.
Logic in Computer Science: Solving practical examples in logic. Propositional logic modeling, analysis, reasoning and theorem proving. First-Order Predicate Calculus - modeling, analysis, reasoning and theorem proving. Basic ideas of Logic Programming and Constraint Programming.","Introduction to formal knowledge representation and reasoning. Propositional Calculus: syntax, semantics, inference, CNF, DNF, resolution, SAT. First-Order Predicate Calculus: syntax, semantics, inference, resolution. Introduction to Logic Programming and Constraint Programming.",English
10,Programming Languages II,2,- knowledge of C programming language at least on the intermediate level - knowledge of English language at least on the intermediate level,6.0,,,"Introduction to C++ Flow Control Functions Arrays and String Structures Classes and Inheritance Smart pointers Expectation and namespace Best practices
Objects and classes: creating, destroying, special operations, static members Value semantics, reference semantics, const-correctness, move semantics Standard library: containers, iterators, algorithms, stream-based I/O operations Extending classes: composition and inheritance, polymorphism, abstract classes and interfaces Memory management Templates Errors and exceptions: handling, defining custom exceptions Namespaces == Language agnostic == using language reference writing unit tests using standard libraries effectively using IDEs effectively (a.o. debugging, refactoring) good programming practices, writing secure and easily-maintained code solving basic software engineering problems",Learning object-oriented programming in the modern C++ (C++14).,English
