,course_name,semester,prerequisites,ects,effects,program_content,program_content_ensuring_outcomes,language
0,Linear Algebra and Analytic Geometry,1,"Knowledge of basic information about geometric figures and elementary functions, as well as polynomials and their roots. Basic information about complex numbers.",5.0,Has knowledge of matrix calculus and analytic geometry; Has knowledge to create static vector-matrix models of the real world; Has knowledge of the structure of a linear system. Is able to analyze the properties of a static and dynamic linear system using knowledge of the structure; Is able to use matrix calculus and is able to solve linear equations. Is aware of the role of applications of mathematics and applied computer science; Is able to use matrix calculus and is able to solve linear equations. Knows the basics of computer graphics.; The student is ready for simple tasks in the field of applied computer science,"During lectures, students become familiar with the basic problems of linear algebra, including matrix calculus and the basics of analytic geometry.
During the exercises, the student gains basic calculation skills from the matrix theory. He also becomes familiar with the basic description of geometric figures.","LECTURE OUTLINE: Linear spaces and transformations (10 hrs) Matrices and vector-matrix linear equations. Structure of a system. (10 hrs) Analytic geometry (8 hrs) TABLE OF CONTENTS OF LECTURES (page numbers indicate pages in my notes, modified from time to time): 1. Introduction: linear equation Ax = b. Analytic geometry – study of geometric figures reduced to solving systems of equations. 2. The equation Ax = b, for n = 2, solution and matrix interpretation, p. 1. 3. Determinant for n = 2 and n = 3, p. 2. Sarus’ rule. 4. Cramer’s rule. 5. Determinant, minor, algebraic complement, p. 3. 6. Properties of determinants, p. 4. 7. Triangular matrix, p. 5. 8. Adjoint matrix and inverse, p. 6. 9. Minor of degree k taken out of a matrix, rank of a matrix, p. 7. 10. How to investigate the rank of a matrix? 11. Linear (vector) space, p. 7. 12. n-dimensional vector, linearly dependent and independent vectors, p. 8. 13. Condition of linear independence, p. 8. 14. The general case of a system of linear equations, p. 8. Capelli's condition. 15. Inhomogeneous and homogeneous equation, p. 8, 9. 16. Number of linearly independent solutions, p. 9. 17. Subspace of solutions. The generalized solution (optimal approximation). 18. How to search for a solution? Practical remarks, p. 10. Structure of a linear system. 19. Matrix algebra (equality of matrices, addition, multiplication, unit matrix), pp. 11, 12, 13. 20. n-dimensional linear space, p. 13. 21. Basis of space, dimension of space, p. 14. 22. Mapping (transformation) Z^n → Z^m, p. 14. 23. General remarks about f: X → Y, the special case when f is linear, p. 15. 24. Mapping matrix, p. 17. 25. Composition of transformations, p. 18. 26. Euclidean vector space, affine space. 27. Affine transformations, vector-matrix form, isometries. 28. Analytic description of geometric figures. Convex sets. Distance of figures. 29. Dot product (x|y), orthogonal vectors, Schwarz's inequality, p. 18. 30. Parallelism and perpendicularity. 31. Length of a vector (vector norm), Gram matrix, p. 19. 32. Remarks on complex numbers, p. 19. 33. Dyadic product, p. 19. 34. Selected special matrices (triangular, scalar, diagonal), p. 20. 35. Properties of transposed matrices, powers of square matrices, p. 20. 36. Other important properties, p. 21. 37. The coordinate system. Change of variables, equivalent and similar matrices (canonical form), pp. 21, 22. 38. Eigenvalues ​​and eigenvectors of a square n x n matrix A, p. 25. 39. Characteristic polynomial, pp. 25,26. 40. Principal vectors of a square n x n matrix A, p. 26. 41. The number of linearly independent principal vectors, p. 26. 42. The transformation matrix to the Jordan canonical form, p. 28. 29. 43. Jordan canonical form, p. 31. 44. Matrices of polynomials, equivalence of polynomial matrices (canonical form), p. 32. 45. Invariant factors and elementary divisors, pp. 32, 33. 46. The particular polynomial matrix A(lambda) = lambda I – A, p. 33. 47. The Hamilton–Cayley theorem (examples of applications), p. 33. 48. The real canonical form J for a real matrix A, p. 35. 49. Forms canonical for special matrices, p. 36. 50. Normal, unitary, Hermitian, skew-Hermitian, symmetric matrices, p. 36. 51. Quadratic form f(x) = (x|Ax) = x^T Ax, positive definiteness (of a matrix form), p. 39. 52. Geometric interpretation of quadratic forms. 53. Vector norm and matrix norm (e.g. spectral), p. 40. 54. Estimation of the error of a numerical solution, p. 40. Auditory exercises Exercise topics 1. adding, multiplying matrices 2. determinants of matrices 3. inverting matrices 4. solving systems of algebraic equations – Cramer's rule 5. solving systems of algebraic equations – Kronecker–Capelli condition 6. complex numbers, basic operations: addition, multiplication, division, complex roots of polynomials and their multiplicities 7. linear (vector) space and its basis (basis). Dimension of space. Transformation matrix. 8. canonical (real and complex) Jordan form of a matrix, Frobenius canonical form 9. determination of eigenvectors, principal 10. Cayley-Hamiloton theorem and its use, e.g., to determine inverse matrices 11. affine transformations 12. geometric figures in Euclidean space, quadratic forms.",Polish
1,Mathematical analysis 1,1,,7.0,"knows standard mathematical symbols, basic concepts related to functions, basic elementary functions and their properties, concepts and methods of mathematical analysis and recognizes their usefulness in describing physical phenomena and technical issues, and recognizes the limitations of these methods in the case of their numerical implementation.; knows the concept of the limit of a sequence and the limit of a function, knows the definition of a derivative and its geometric and physical interpretations; knows the applications of differential calculus of functions of one real variable to the study of functions and to approximate calculations.; knows the concept of an antiderivative function and the method of determining an indefinite integral, knows the concept of the Riemann integral and the methods of its calculation, knows the concept of a multiple integral, the methods of its calculation and application; knows the methodology of generalizing differential and integral calculus of functions of one variable to the case of functions of several variables; knows the concept of a numerical and functional series and the types and criteria of its convergence. knows power series and Fourier series and their applications; is able to state the basic properties of new mathematical objects based on independently acquired teaching materials. Makes an objective assessment of the credibility of the information obtained in the light of previously learned facts.; is able to calculate the limits of simple sequences and functions, understands the concept of a limit transition and asymptotics of functions. is able to use the tools of differential calculus of functions of one real variable to investigate the properties of functions and for approximate calculations; is able to determine the indefinite integral and the Riemann integral and apply it to geometric and physical problems; is able to use differential and integral calculus of many variables to describe basic physical and technical phenomena; the student feels the need for self-education, being aware that the knowledge provided during studies is not complete due to time constraints","Basic concepts related to functions - domain, codomain, truncation of a function, image and inverse image (properties). Important types of functions: injection, surjection, bijection. Composition of functions and inverse functions. Ordinal properties of number sets - good ordering N and its consequence the principle of mathematical induction, - dense ordering W - continuous ordering R and the principle of continuity. Real functions - operations on functions. Real functions of a real variable and concepts related to them: increasing, decreasing, periodic, even, odd function. Equicardinality of sets: finite and infinite sets, countable and uncountable sets. The Cartesian product of countable sets is countable. Q is countable (as a conclusion). R is uncountable (3h).
Number sequences: limit, convergence theorems, Cauchy condition, limit arithmetic, inequalities in limit crossings, theorem on three sequences (3h).
Limit of a function at a point - Heine's and Cauchy's definitions of a limit, arithmetic properties of limits of functions with real arguments and values, limits at infinity and improper limits, one-sided limits, infinitesimal. Continuity of a real function of a real variable. Basic theorems on continuous functions (3h).
Differential calculus of functions of one real variable, Derivative and differential, calculation of derivatives (differentiation and arithmetic operations, differentiation of a composite function, inverse function, derivatives of elementary functions, mean value theorem, maxima and minima, Rolle's theorem, de 1'Hopital's theorem, necessary and sufficient conditions for having a local extremum. Higher order derivatives, Taylor's theorem, concavity and convexity, point of inflection, asymptotes. (5h).
Integral calculus. Indefinite integrals, basic formulas, integration by change of variable and by parts. Recurrence formulas. Integration of rational functions and selected classes of irrational functions. Riemann's definite integral, upper and lower integrals, integrability of continuous and monotonic functions, necessary and sufficient condition of integrability in the sense of Riemann. Connection of integration and differentiation, basic theorems of integral calculus, mean value theorem. Integration by change of variable and by parts for definite integrals. Applications of Riemann's integral: area of ​​a plane region, volume of a solid of revolution, rectifiable curves. Improper integrals (with infinite limits and integrals of unbounded functions). Convergence criteria, absolute and conditional convergence (7h)
Series. Number series with non-negative terms - convergence criteria - comparative, quotient, integral, d'Alambert, Cauchy. Absolute and conditional convergence, alternating series and Leibnitz criterion. Cauchy product of series. Functional sequences and series. Uniform convergence, connection with continuity, integration and differentiation, power series, analytic functions. Orthogonal series in unitary spaces. Fourier series, Bessel's inequality, Parseval's equality, convergence in the L2 norm. Fourier trigonometric series in real and complex form. Dirichlet's theorem on pointwise convergence (6h)
Differential calculus of functions of many variables. Differentiability of functions of many variables, Frechet's derivative. Gradient. Directional and partial derivatives. Examples. Rules of differentiation. Differentiation of maps, Jacobi matrix, differentiation of a complex map, mean value theorem, inverse function theorem, implicit function theorem. Second-order partial derivatives, Schwarz's theorem, Taylor's formula with second-order derivatives, class C2 functions. Local extrema, necessary and sufficient condition, extrema of implicit functions. Conditional extrema, theorem on Lagrange multipliers (7h)
Double and triple integrals. Jordan measure of a set, definition of an integral, conversion to an iterated integral, change of variables. Polar, spherical and cylindrical coordinates. Applications of multiple integrals. Directed and undirected line integrals in R2 and R3, orientation of a curve, Green's theorem. Unoriented surface integrals, conversion to a double integral. Oriented surface patches, oriented surface integrals, Gauss-Ostrogradski theorem, Stokes theorem (8h).","1. Basic concepts related to functions – domain, codomain, truncation of a function, image and inverse image (properties). Important types of functions: injection, surjection, bijection. Composition of functions and inverse functions. Ordinal properties of number sets – well-ordering N and its consequence the principle of mathematical induction,- dense ordering W- continuous ordering R and the principle of continuity. Real functions – operations on functions. Real functions of a real variable and concepts related to them: increasing, decreasing, periodic, even, odd function. Equicardinality of sets: finite and infinite sets, countable and uncountable sets. The Cartesian product of countable sets is countable. Q is countable (as a conclusion). R is uncountable (3h). 2. Number sequences: limit, convergence theorems, Cauchy condition, arithmetic of limits, inequalities in limit crossings, theorem on three sequences (3h). 3. Limit of a function at a point - Heine's and Cauchy's definitions of the limit, arithmetic properties of limits of functions with arguments and real values, limits at infinity and improper limits, one-sided limits, infinitesimals. Continuity of a real function of a real variable. Basic theorems on continuous functions (3h). 5. Differential calculus of functions of one real variable, Derivative and differential, calculation of derivatives (differentiation and arithmetic operations, differentiation of a composite function, inverse function, derivatives of elementary functions, mean value theorem, maxima and minima, Rolle's theorem, de 1'Hopital's theorem, necessary and sufficient conditions for having a local extremum. Higher order derivatives, Taylor's theorem, concavity and convexity, point of inflection, asymptotes. (5h). 6. Integral calculus. Indefinite integrals, basic formulas, integration by changing a variable and by parts. Recursive formulas. Integration of rational functions and selected classes of irrational functions. Riemann's definite integral, upper and lower integrals, integrability of continuous and monotonic functions, necessary and sufficient condition for integrability in the sense of Riemann. Connection of integration and differentiation, basic theorems of integral calculus, mean value theorem. Integration by change of variable and by parts for definite integral. Applications of Riemann integral: area of ​​a flat region, volume of a solid of revolution, rectifiable curves. Improper integrals (with infinite limits and integrals of unbounded functions). Convergence criteria, absolute and conditional convergence (7h) 7. Number series. Number series with non-negative terms – convergence criteria – comparative, quotient, integral, d’Alambert, Cauchy. Absolute and conditional convergence, alternating series and Leibnitz criterion. Cauchy product of series. Functional sequences and series. Uniform convergence, connection with continuity, integration and differentiation, power series, analytic functions. Orthogonal series in unitary spaces. Fourier series, Bessel's inequality, Parseval's equality, convergence in the L2 norm. Fourier trigonometric series in real and complex form. Dirichlet's theorem on pointwise convergence (6h) 8. Differentiability of functions of several variables, Frechet's derivative. Gradient. Directional and partial derivatives. Examples. Rules of differentiation. Differentiation of maps, Jacobi matrix, differentiation of a complex map, mean value theorem, inverse function theorem, implicit function theorem. Second-order partial derivatives, Schwarz's theorem, Taylor's formula with second-order derivatives, class C2 functions. Local extrema, necessary and sufficient condition, extrema of implicit functions. Conditional extrema, theorem. on Lagrange multipliers (7h) 9. Double and triple integrals. Jordan measure of a set, definition of an integral, conversion to an iterated integral, change of variables. Polar, spherical and cylindrical coordinates. Applications of multiple integrals. Directed and undirected line integrals in R2 and R3, orientation of a curve, Green's theorem. Unoriented surface integrals, conversion to a double integral. Oriented surface patches, oriented surface integrals, Gauss-Ostrogradski theorem, Stokes theorem (8h).",Polish
2,Introduction to Computer Science,1,No prerequisites,3.0,"Knows and understands the basic problems of modern computer science; Knows and understands the basic issues discussed in computer science studies; Is able to design a simple formal grammar, is able to conduct grammatical analysis using various methods; Knows the basic issues of information theory, is able to use them in practice; Understands the basic social problems in relation to computer science","Introduction to the scope and subject of computer science, development of computer science, selected computer models. Algorithm and basic concepts, computational complexity of an algorithm, basic, classes of computational complexity, taxonomy and meaning. Formal languages, formal grammar, Chomsky classification, grammatical parsing, compilers, structure and operation of a compiler, review of compilation algorithms. Paradigms of programming languages ​​- meaning and review. Introduction to information theory, information measures. Uncertainty, the concept of entropy. Compression. Shannon, Fano and Huffman coding. Message transmission, channel capacity. Kolmogorov information complexity. Computer networks. Types and topologies of networks. Wired and wireless networks: Ethernet, WiFi, Bluetooth. ISO-OSI model. Selected network protocols. Selected applications of computers. Application programming, modeling and simulations, large-scale computing, embedded systems, ubiquitous computing. Multimedia systems.
Basic problems in formal definition of subsets of regular and context-free languages. Typical course of grammatical parsing processes, compiler construction. Basic problems in information theory, entropy and coding.","Introduction to the scope and subject of computer science Algorithm and basic concepts, Formal languages, Paradigms of programming languages ​​Introduction to information theory, Computer networks. Selected applications of computers.",Polish
3,Logic for IT specialists,1,"Elementary knowledge of English is required - to the extent that allows studying professional literature with understanding. Textbooks and auxiliary materials will be available mainly in English. In addition, elementary knowledge of discrete mathematics in the field of set algebra and relational algebra, as well as the basics of graph theory is required. Preparation for independent study of literature, analytical thinking skills, creativity in solving problems, independence, enthusiasm for work, perseverance and enthusiasm - positive thinking are needed. Systematic work aimed at full understanding of the material and durability of learning effects. I also ask for attendance at lectures and taking notes during the lecture. In case of ambiguities, doubts, misunderstanding of the content, questions can and should be asked. Activity, discussion, independent development and presentation of selected issues are welcome. The lecturer DOES NOT CONSENT to any form of electronic recording of the content of the presented lecture (audio or video) without prior agreement on the terms and conditions in this regard.",4.0,"Theoretical foundations of logic: syntax and semantics, notation, concepts, transformations, reasoning, construction and analysis of logical models.; Use logic - even in an elementary scope, but with full understanding.; Read and understand, formulate and analyze logical models. Use logic in engineering practice and everyday life.; Logically conditioned analysis, discussion and presentation of models, opinions and views; also in non-professional aspects: social and political views, knowledge of the economy, beliefs and knowledge of a social nature and concerning the protection of the natural environment, law, economics. Also in the field of philosophy, worldview, assessment of attitudes and behaviors, morality. Knowledge of logic creates the basis for a discussion based on arguments and logical reasoning, and therefore - a rational and substantive discussion.","Lecture content: Logic, logic and once again logic. In particular: Introduction to logic, the essence of logic, the role and tasks of logic, areas of application, limitations. The role and importance of language. Language and formal language. Syntax, semantics, interpretation, model. Logical properties. Deduction. The concept of logical consequence. The concept of hypothesis, theorem and tautology. Examples of formalization of problems. Examples of inference. Deduction, abduction and induction. Other models of logical and extralogical inference. The language of propositional calculus. Syntax and semantics. Rules for transforming formulas. CNF, DNF, NNF forms. Implicants and implicents. Rules of inference. Proving theorems. Decision trees and OBDD diagrams. Testing satisfiability: the SAT problem. Logic of predicate calculus. Syntax and semantics. Rules for transforming formulas. CNF, DNF, NNF forms. Rules of inference. Proving theorems. Attribute logics. Syntax and semantics. Formula transformation rules. CNF, DNF, NNF forms. Inference rules. Theorem proving. Decision tables and trees. Rule systems. Foundations of automatic theorem proving. Resolution rule. Dual resolution rule. Substitution and unification. Reduction to normal form. Skolemization. Proof strategies. Introduction to logical programming. The idea of ​​the Prolog language. Selected problems and limitations of classical logic. Selected applications and tools of logic. Information about non-classical logics. Multi-valued logics, fuzzy logic, modal and temporal logics.
Exercise topics: Propositional calculus: Writing sentences of natural language in logical symbolism. Logical matrices of complex sentences. Determining the logical values ​​of complex sentences. Tautologies of propositional calculus. Transforming formulas. Normal forms. Inference. Formal proofs, assumption-based direct and indirect proofs. Predicate calculus: Expressions written using quantifiers, scope of a quantifier, bound and free variables, correctly constructed expressions. Propositional functions, propositional function and sentence. Reading and symbolically writing mathematical expressions. Laws of propositional calculus. Quantifiers with scope restricted by a propositional function. Rules of inference. Predicates, functions, propositional formulas, terms, first-order language. Normal forms. Writing sentences of natural language in logical symbolism using predicate symbols. Elements of semantics. Selected extensions (e.g. based on the lecture).","Fundamentals of logic: formal languages, syntax, semantics, reasoning, systems modeling - and much more.",Polish
4,Programming Basics 1,1,,4.0,"the basic syntax of the C language and the method of constructing programs in the C language; the method of implementing selected, specific algorithmic problems using the C language; implement programs in the C language that use typical C language constructs and functions of standard libraries; take a critical look at the presented solution to a given problem, propose their own solution along with the justification of their opinion. They can critically assess the degree of their understanding of the problem posed.","C language syntax, basic variable types and their declarations, variable scope, pointer variables, operators, control statements.
Functions, definition, call, arguments, recursion.
Arrays, strings, structures, dynamic memory allocation, lists, trees.
Use of selected libraries.
Introduction to programming in C. Creation of simple programs containing basic elements of the C language.
Implementation of programs using functions and recursion in C.
Implementation in C of programs using arrays, strings, complex data structures in the form of lists and trees.
Implementation in C of programs using selected libraries.",Description of the C language with examples of use. Students' implementation of many programs focused on the use of various elements of the C language.,Polish
5,Introduction to Unix Systems,1,Programming basics.,2.0,the shell; the concept of the file system; the concept of threads and processes; principles of combining tools; programming the shell; processing data; automating activities; producing system software; independently solving problems of processing data stored in files; productively using Unix-type systems.,"1. shell, bash 3. regex 4. data processing: gnu coreutils, sed, awk 5. networking 6. editors: vi, emacs 7. automation: make 8. programming, processes, threads, debugging 9. version control
1. Processing of structured data files 2. File and data system analysis 3. Process management 4. Communication between users 5. Interactive data processing 6. Communication between processes","Shell, bash, data processing: gnu coreutils, sed, awk, editors: vi, emacs, automation: make, programming, processes, threads, debugging process management, user communication, interactive data processing, inter-process communication",Polish
6,Computer architectures,1,,3.0,"how a computer with microprogrammed control (from the perspective of logical solutions) works; how a computer with hardwired control (from the perspective of logical solutions) works; design and analyze digital combinational and sequential circuits. Is able to design a processor, I/O circuits and an entire computer in the form of an electronic diagram.; describe the operation of digital combinational and sequential circuits using the VHDL hardware description language. Is able to implement a processor, I/O circuits and an entire computer in VHDL.; critically look at the presented solution to a problem related to the construction of a computer, propose their own solution together with the justification of their opinion. Is able to critically assess the degree of their understanding of the problem posed.","Analysis and design of combinational circuits: logical gates (AND, OR, NOT, NAND, NOR), arithmetic circuits, encoders, decoders, multiplexers, demultiplexers, ROM memories.
Analysis and design of synchronous sequential circuits (JK, D flip-flops), registers, counters, RAM memory.
VHDL Hardware Description Language. FPGA Circuits.
Design in the form of an electronic schematic and VHDL of an example of an ALU (Arithmetic-Logic Unit).
Design in the form of an electronic schematic and VHDL of an example computer with hardware control.
Design in the form of an electronic schematic and VHDL of an example computer with microprogrammed control.
Design of I/O systems (e.g. graphics cards), parallel processing
Computer Architecture Review","Analysis and design of combinational and sequential circuits, starting with the NAND gate and the JK flip-flop and reaching the design of an example computer with hardware and microprogram control. Design of circuits and computers using VHDL.",Polish
7,IT tools,1,Lack,2.0,"possibilities and scope of applications of the LaTeX system; basic LaTeX language commands; at a basic level, problems related to the organization of group work; typesetting simple documents in the LaTeX system; using an application designed to support group work; group work using supporting IT tools","Lectures on the LaTeX system: Basics of working with the LaTeX system: LaTeX applications, document classes, document preparation stages, source file types, tex file structure, compilation, environments supporting the use of LaTeX. Basics of document typesetting in the LaTeX system: Source file structure, basic packages, source text preparation, text formatting, paragraph formatting, document structure, inserting graphics, tables, basic document classes, bibliography. Mathematical formulas.
LaTeX laboratory exercises: Basics of LaTeX document typesetting. Graphics and tables in LaTeX. Mathematical formulas in LaTeX.
Lectures on group work tools: Lectures present solutions for group work at university or in business (e-business) using modern information technologies, such as the GitHub website for programming projects and Git and Subversion software version control systems. The lectures present the basic principles of group work and cooperation in solving IT problems. The issues of building a knowledge base and exchanging information in a group (including deadlines) are discussed. The organization of work in the ""cloud"" is considered. The use of the wiki concept is also discussed.
Laboratory exercises on group work tools: Application of a centralized version control system based on client-server architecture - on the example of Apache Subversion. Application of a distributed version control system based on P2P architecture - on the example of the GiT system. Application of the HitHub hosting service, using the Git version control system. Applications using various methods of improving and implementing tasks and projects, e.g. Kanban boards and Scrum methodologies.","The course will present issues related to a number of important IT tools, such as the LaTeX text typesetting system and IT tools for group work. The more important principles of organizing group work will be discussed.",Polish
8,Physics 1,2,"Basic knowledge of physics and mathematics at the junior high and high school level is required. Additionally, it is necessary to have the ability to use differential calculus at an elementary level.",5.0,"physical phenomena and fundamental interactions in nature.; the importance of physics as a natural science, its place and role in today’s science and technology; the mutual relations between theory and experiment.; issues in the scope of: material point mechanics, rigid body, gravity, oscillatory motion and waves and the basics of thermodynamics and hydrodynamics, necessary to understand basic physical phenomena in nature and technology.; obtain information from literature, databases and other sources; is able to integrate obtained information, interpret it, as well as draw conclusions and formulate and justify opinions.; acquire mathematical foundations for describing physical phenomena and cite examples of the application of vector, differential and integral calculus in physics.; independently solve tasks in the area of ​​classical mechanics and apply appropriate physical laws to solve issues of vibrations and wave motion as well as the basics of thermodynamics and hydrodynamics.; use the acquired knowledge in practice, based on knowledge of physical phenomena.; continuous education, e.g. recognizing the need to develop skills in using mathematical tools to describe physical phenomena; taking care of non-technical aspects and effects of an engineer’s activity, including its impact on the environment and the related responsibility for decisions made.","Introduction to physics. Elements of differential, integral and vector calculus applied to simple physical problems. Subject and importance of physics as a natural science. International system of units SI - basic physical quantities and their units. Division of physical quantities into scalars and vectors. Vector features, Basic operations on vectors including scalar and vector products.
Kinematics of a material point. Description of quantities used to describe curvilinear motion. Definitions and graphical interpretation of: position vector, displacement, instantaneous and average velocity, instantaneous and average acceleration. Circular motion. Free fall, projections: vertical, horizontal, oblique.
Dynamics of a material point. Newton's laws of dynamics. Examples of applications. Mass and weight. Friction forces (static and dynamic friction). Inertial and non-inertial systems (inertial forces). Centrifugal and Coriolis acceleration (examples). Work, power, energy. Theorem of work and kinetic energy. Potential energy, conservative forces. Principle of conservation of energy. Motion of the center of mass system, principle of conservation of momentum. Principles of dynamics for systems with variable mass.
Gravity. Quantities characterizing the gravitational field: intensity, potential, potential energy, flux. Gauss's law and examples of its applications. Gravitational energy of a sphere. Kepler's laws, gravitational acceleration, Foucault's pendulum.
Dynamics of a rigid body. Discrete and continuous mass distribution. Center of mass, basic concepts of the dynamics of rotational motion of a material point and a rigid body. The moment of inertia tensor and Steiner's theorem. Examples of moment of inertia calculations.
Vibrations, harmonic oscillator. Mechanical properties of solids. Strain and stress. Hooke's law. Simple linear oscillator. Damped and forced vibrations. Resonance (amplitude and phase shift). Pendulums (physical, mathematical and torsional), composition of vibrations.
Mechanical waves. Description of wave phenomena, equation of a plane wave in space and the wave equation. Elastic wave in a solid and in gases. Standing wave. Basic concepts of acoustics, the Doppler effect.
Fundamentals of hydrostatics and hydrodynamics. Pressure, barometric formula. Pascal's principle and Archimedes' principle. Hydrodynamics - basic concepts (Bernoulli's principle, stream continuity equation, viscosity).
Kinetic theory of gases and foundations of thermodynamics. Laws of thermodynamics. Internal energy and entropy. Equation of state of ideal and real gas, Maxwell distribution. Gas processes. Specific and molar heat, principle of equipartition of energy.","The aim of the subject is to develop the ability to describe the surrounding physical reality using basic laws and principles. The student acquires the ability to understand physical interactions and phenomena and their importance in nature and technology, is able to solve simple calculation tasks and is prepared to take on more complex technical problems based on the laws of physics.",Polish
9,Probability and Statistics,2,Lack,4.0,"basic knowledge of probability and statistics; probabilistic models and their scope of applicability; analyze data using probabilistic methods; describe, formulate and solve practical problems in the field of statistical inference and analysis; recognize the role of statistics in contemporary society","Introduction to the subject, probability theory and statistics. Preliminary data analysis. Descriptive statistics. Evaluation of measurement results, transformations of variables, Exploratory analysis of large amounts of data. Data visualization. Fundamentals of probability theory. Conditional probability and Bayes' rule. Random events and event probabilities. One-dimensional random variables: distributions and parameters. Normal distribution, its properties and applications. Bidimensional and multidimensional random variables. Marginal distributions. Probabilistic models. Fundamentals of statistics and statistical inference. Methods of random sample selection. Statistical inference. Point and interval estimation. Testing of statistical hypotheses. Nonparametric tests, rank methods. Analysis of variance. Multivariate methods of mathematical statistics. Discriminant analysis. Reduction of the dimensionality of description. Data grouping. Methods of modern statistics. Monte Carlo methods. Random number generators. Bootstrap methods.
Exercises in line with the lecture content","Preliminary data analysis, descriptive statistics, evaluation of measurement results, transformations of variables, exploratory analysis of large amounts of data. data visualization. Fundamentals of probability theory, conditional probability and Bayes' rule, random events and event probabilities, univariate random variables: distributions and parameters, basics of statistics and statistical inference, statistical inference. Monte Carlo methods, bootstrap methods.",Polish
