course_name,concept,wikidata_qid,wikidata_label,wikidata_description,wikidata_url
Linear Algebra and Analytic Geometry,linear algebra,Q82571,linear algebra,branch of mathematics that studies vector spaces and linear transformations,https://www.wikidata.org/wiki/Q82571
Linear Algebra and Analytic Geometry,matrix calculus,Q29167,matrix calculus,specialized notation for multivariable calculus,https://www.wikidata.org/wiki/Q29167
Linear Algebra and Analytic Geometry,analytic geometry,Q134787,analytic geometry,study of geometry using a coordinate system,https://www.wikidata.org/wiki/Q134787
Linear Algebra and Analytic Geometry,matrix theory,Q2256206,matrix theory,"area of mathematics, part of linear algebra",https://www.wikidata.org/wiki/Q2256206
Mathematical analysis 1,function (mathematics),Q11348,function,association of a single output to each input,https://www.wikidata.org/wiki/Q11348
Mathematical analysis 1,injection (mathematics),Q182003,injection,mathematical function that preserves distinctness,https://www.wikidata.org/wiki/Q182003
Mathematical analysis 1,surjection,Q229102,surjective function,function such that every element of the codomain has a preimage,https://www.wikidata.org/wiki/Q229102
Mathematical analysis 1,bijection,Q180907,bijection,mathematical function which is a one-to-one mapping of sets,https://www.wikidata.org/wiki/Q180907
Mathematical analysis 1,mathematical induction,Q178377,mathematical induction,form of mathematical proof,https://www.wikidata.org/wiki/Q178377
Mathematical analysis 1,real function,Q5189500,real-valued function,function whose range is a subset of the real numbers,https://www.wikidata.org/wiki/Q5189500
Mathematical analysis 1,number sequence,Q4516355,number sequence,mathematical datatype,https://www.wikidata.org/wiki/Q4516355
Mathematical analysis 1,limit (mathematics),Q177239,limit,value that a function (or sequence) approaches as the argument (or index) approaches some value,https://www.wikidata.org/wiki/Q177239
Mathematical analysis 1,convergence (mathematics),Q1287023,convergence,mathematical concept,https://www.wikidata.org/wiki/Q1287023
Mathematical analysis 1,cauchy sequence,Q217847,cauchy sequence,sequence whose elements become arbitrarily close to each other,https://www.wikidata.org/wiki/Q217847
Mathematical analysis 1,infinitesimal,Q193885,infinitesimal,"nonzero positive ‘number’ smaller than any positive real number, formalizable in a number of ways (surreals, hyperreals etc.)",https://www.wikidata.org/wiki/Q193885
Mathematical analysis 1,continuity (mathematics),Q12030090,continuity,lack of interruption or disconnection; the quality of being continuous in space or time,https://www.wikidata.org/wiki/Q12030090
Mathematical analysis 1,derivative,Q29175,derivative,instantaneous rate of change (mathematics),https://www.wikidata.org/wiki/Q29175
Mathematical analysis 1,differential (calculus),Q149999,differential calculus,subfield of calculus,https://www.wikidata.org/wiki/Q149999
Mathematical analysis 1,differentiation,Q29175,derivative,instantaneous rate of change (mathematics),https://www.wikidata.org/wiki/Q29175
Mathematical analysis 1,mean value theorem,Q3984001,Cauchy's mean-value theorem,theorem,https://www.wikidata.org/wiki/Q3984001
