course_name,concept,wikidata_qid,wikidata_label,wikidata_description,wikidata_url
Linear Algebra and Analytic Geometry,geometric figure,Q123410761,geometric figure,geometric object including shape and size,https://www.wikidata.org/wiki/Q123410761
Linear Algebra and Analytic Geometry,elementary functions,Q25303953,Liouvillian function,elementary functions and their finitely iterated integrals,https://www.wikidata.org/wiki/Q25303953
Linear Algebra and Analytic Geometry,polynomial,Q43260,polynomial,mathematical expression consisting of variables and coefficients,https://www.wikidata.org/wiki/Q43260
Linear Algebra and Analytic Geometry,polynomial root,Q20113351,polynomial root,value of the argument of a polynomial at which the polynomial evaluates to zero,https://www.wikidata.org/wiki/Q20113351
Linear Algebra and Analytic Geometry,complex number,Q11567,complex number,"number that can be put in the form a + bi, where a and b are real numbers and i is called the imaginary unit",https://www.wikidata.org/wiki/Q11567
Logic for IT specialists,set algebra,Q205464,algebraic structure,set equipped with one or more finitary operations defined on it,https://www.wikidata.org/wiki/Q205464
Logic for IT specialists,relational algebra,Q840540,relational algebra,"family of algebras used for modelling the data stored in relational databases, and defining queries on it",https://www.wikidata.org/wiki/Q840540
Logic for IT specialists,graph theory,Q131476,graph theory,"study of graphs, which are mathematical structures used to model pairwise relations between objects",https://www.wikidata.org/wiki/Q131476
Introduction to Unix Systems,programming basics,,,,
Physics 1,differential calculus,Q149999,differential calculus,subfield of calculus,https://www.wikidata.org/wiki/Q149999
Discrete mathematics,function (mathematics),Q11348,function,association of a single output to each input,https://www.wikidata.org/wiki/Q11348
Discrete mathematics,relation (mathematics),Q203066,relation,property that assigns truth values to k-tuples of individuals,https://www.wikidata.org/wiki/Q203066
Programming Basics 2,c (programming language),Q15777,C,general-purpose programming language,https://www.wikidata.org/wiki/Q15777
Programming Basics 2,syntax,Q37437,syntax,linguistic field that studies the inner structure of sentences,https://www.wikidata.org/wiki/Q37437
Programming Basics 2,semantics,Q39645,semantics,"study of meaning of linguistic forms (words, phrases, etc.)",https://www.wikidata.org/wiki/Q39645
