conceptQID,conceptName,itemDescription,fieldQID,fieldName
Q126945,medical education,education related to the practice of being a medical practitioner,Q113156829,"medicine, nursing and health curriculum and pedagogy"
Q127877,Nagano Prefecture,prefecture of Japan,Q17217481,Shinanology
Q127885,Serbs,South-Slavic ethnic group,Q2272224,Serbian studies
Q128570,bioinformatics,"computational analysis of large, complex sets of biological data",Q177005,computational biology
Q128570,bioinformatics,"computational analysis of large, complex sets of biological data",Q21198,computer science
Q180046,space exploration,discovery and exploration of outer space and celestial objects outside Earth,Q1195766,space sciences
Q180152,vitiligo,hypersensitivity reaction type II disease that causes depigmentation of skin patches resulting from loss of function or death of melanocytes,Q105582462,biology of colour
Q180241,internal energy,"energy contained in a system, excluding energy due to its position as a body in external force fields or its overall motion",Q11473,thermodynamics
Q180502,parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",Q7175,mycology
Q180502,parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",Q441,botany
Q180502,parasitology,"branch of biology that studies parasites, their hosts, and the relationship between them",Q431,zoology
Q180538,fishery,the enterprise of raising or harvesting fish or other aquatic organisms,Q1420050,fisheries science
Q66065,Sahel,ecoclimatic and biogeographic transition zone in Africa,Q115669616,Sahel studies
Q69370,right to education,universal entitlement to education,Q4394526,international law
Q69798,Dravidian peoples,South Asian ethnolinguistic group,Q1128227,Dravidian studies
Q69883,urban planning,technical and political process concerned with the use of land and design of the urban environment,Q64808211,urban and regional planning
Q71486,instructions per second,measure of a computer's processing speed,Q21198,computer science
Q73599,ijtihad,Islamic legal term referring to independent reasoning,Q484181,fiqh
Q160329,convection,heat transfer due to the bulk movement of molecules within fluids,Q11473,thermodynamics
Q160460,Farabi,10th century Persian philosopher and jurist,Q25482005,Al-Farabi studies
Q160598,Protestante/noafiliado,belief or theory that is strongly at variance with established beliefs or customs,Q1365310,heresiology
Q160845,sociolinguistics,study of language use and its effects on society,Q160845,sociolinguistics
Q128593,reincarnation,concept of rebirth in some religions and cultures,Q5891,philosophy
Q128593,reincarnation,concept of rebirth in some religions and cultures,Q9174,religion
Q129465,Tōhoku region,"region in the northeastern portion of Honshu, Japan",Q11526189,Tōhoku studies
Q130436,history of Japan,account of past events in the Japanese civilisation,Q855159,kokugaku
Q130989,neologism,"newly coined word, phrase or meaning",Q160845,sociolinguistics
Q189156,cellular automaton,"discrete model studied in computability theory, mathematics, physics, complexity science, theoretical biology and microstructure modeling",Q214526,automata theory
Q189224,pseudocode,informal high-level description of the operating principle of a computer program or other algorithm,Q638608,software development
Q189447,risk management,"management to identification, evaluation, and prioritization of risks",Q6314146,industrial engineering and management
Q189603,public health,"science and art of preventing disease, prolonging life and promoting health through organized efforts and informed choices of society, organizations, public and private, communities and individuals",Q31218,health economics
Q189622,Zenitverzögerung,German term: state variable in geodesy and astronomy,Q333,astronomy
Q189622,Zenitverzögerung,German term: state variable in geodesy and astronomy,Q131089,geodesy
Q189783,calorimeter,instrument for measuring heat,Q11473,thermodynamics
Q189886,Zentherr,German term: medieval laird who was allowed to appoint judges,Q7748,law
Q189962,interval,"physical quantity; ratio between two sonic frequencies, often measured in cents, a unit derived from the logarithm of the frequency ratio",Q164204,musicology
Q181756,law of Canada,"legal system has its foundation in the English common law system, inherited from being a former colony of the United Kingdom",Q7748,law
Q181767,stress,"in linguistics, relative emphasis given to a syllable or other speech element",Q40998,phonology
Q181790,composite material,material made from a combination of two or more unlike substances,Q113114652,composite and hybrid materials
Q181839,pragmatics,"branch of linguistics about how context contributes to meaning, studying implicature, speech acts, relevance and conversation",Q160845,sociolinguistics
Q181839,pragmatics,"branch of linguistics about how context contributes to meaning, studying implicature, speech acts, relevance and conversation",Q8162,linguistics
Q181898,polymerization,process of converting a monomer mixture of monomers into a polymer,Q3456979,polymer science
Q181923,attention deficit hyperactivity disorder,neurodevelopmental disorder,Q7867,psychiatry
Q181923,attention deficit hyperactivity disorder,neurodevelopmental disorder,Q3872,neuropsychology
Q169451,Coxeter–Dynkin diagram,pictoral representation of symmetry,Q131476,graph theory
Q169480,native species,term in biogeography for a species relationship to a geography; opposite of introduced species,Q42985020,invasion biology
Q169525,protein engineering,"biochemical and genetic engineering processes involved in the synthesis, modification, and production of protein products for various applications",Q7094,biochemistry
Q169872,symptom,"departure from normal function or feeling which is noticed by a patient, reflecting the presence of an unusual state, or of a disease; subjective, observed by the patient, cannot be measured directly",Q3510806,symptomatology
Q169940,deforestation,removal of forest and conversion of the land to non-forest use,Q188847,environmental science
Q169950,wildfire,"uncontrolled fire of natural, accidental or criminal origin, which spreads over a natural or agricultural area covered by combustible vegetation",Q1409472,fire ecology
Q182453,adiabatic process,thermodynamic process with zero heat transfer,Q11473,thermodynamics
Q182505,Bayes' theorem,theorem describing the probability of an event based on prior knowledge of conditions that might be related to the event,Q4874481,Bayesian statistics
Q182545,stylistic device,"technique used to give an auxiliary meaning, idea, or feeling to a literal message, including assonance, consonance and alliteration",Q81009,rhetoric
Q182581,immunity,state of being insusceptible or resistant to a noxious agent or process,Q101929,immunology
Q182603,Church Fathers,group of ancient and influential Christian theologians and writers,Q1503585,patrology
Q182603,Church Fathers,group of ancient and influential Christian theologians and writers,Q189380,patristics
Q166620,drainage basin,"area of land where precipitation collects and drains off into a common outlet, such as into a river, bay, or other body of water",Q105277236,watershed science
Q167172,stereotype,over-generalized belief about a particular category of people; often used in literature and films as means to emphasize characters,Q160845,sociolinguistics
Q167336,greenhouse gas,gas in an atmosphere of a planet (usually Earth) that absorbs and emits radiation within the thermal infrared range and causes the greenhouse effect,Q188847,environmental science
Q167336,greenhouse gas,gas in an atmosphere of a planet (usually Earth) that absorbs and emits radiation within the thermal infrared range and causes the greenhouse effect,Q52139,climatology
Q180592,social philosophy,branch of philosophy,Q113001585,social and political philosophy
Q180684,conflict,"friction, disagreement, or discord within a group or between different groups",Q55659895,conflict analysis & resolution
Q181264,Mycenaean Greece,late Bronze Age Greek civilization,Q26425130,mycenology
Q161790,Asperger syndrome,neurodevelopmental disorder; type of autism,Q7867,psychiatry
Q162555,oncology,branch of medicine dealing with cancer,Q113066539,oncology and carcinogenesis
Q162827,atlas,collection of maps,Q124611981,atlas cartography
Q163117,laser cooling,variety of techniques where atomic samples are cooled via interacting with lasers,Q11473,thermodynamics
Q163214,diffusion,net movement of molecules or atoms from a region of high concentration (or high chemical potential) to a region of low concentration (or low chemical potential),Q11473,thermodynamics
Q192227,linguistic purism,opposition to foreign influence on a language,Q160845,sociolinguistics
Q192360,autoimmunity,immune responses of an organism against its own healthy cells and tissues due to failure of an organism in recognizing its own constituent parts as self,Q101929,immunology
Q192386,military science,"theory, method, and practice of producing military capability",Q34749,social science
Q192386,military science,"theory, method, and practice of producing military capability",Q9418,psychology
Q192568,ethical dilemma,"decision-making problem between two conflicting moral imperatives, neither of which is unambiguously acceptable or preferable",Q9465,ethics
Q192600,fallibilism,"philosophical principle that human beings could be wrong about their beliefs, expectations, or their understanding of the world",Q5891,philosophy
Q192617,faith and rationality,two ideologies that exist in varying degrees of conflict or compatibility,Q34178,theology
Q192624,metre,basic rhythmic structure of a verse or lines in verse,Q12796440,Metrics
Q192625,linguistic typology,academic discipline categorizing languages,Q8162,linguistics
Q190903,herbaceous plant,plant which has no persistent woody stem above ground,Q441,botany
Q190965,transsexualism,a person's experiencing a gender identity different from the assigned sex,Q17014367,transgender studies
Q190983,zeroth law of thermodynamics,"principle stating if two systems are in thermal equilibrium with another, they are with each other",Q11473,thermodynamics
Q190993,malacology,study of the Mollusca,Q7173,marine biology
Q190993,malacology,study of the Mollusca,Q12744095,invertebrate zoology
Q190993,malacology,study of the Mollusca,Q5728861,aquatic biology
Q190996,pediment,"element in classical, neoclassical and baroque architecture",Q12271,architecture
Q133500,learning,process of acquiring new knowledge,Q2585724,educational assessment
Q133772,dental caries,deformation of teeth made by acids from bacteria,Q5749238,cariology
Q133981,first aid,first and immediate assistance given to any person suffering from either a minor or serious illness or injury,Q2861470,emergency medicine
Q134167,enzyme substrate,term in biochemistry,Q7094,biochemistry
Q134237,square root,inverse operation of square for finding the original base number,Q7754,mathematical analysis
Q161064,enthalpy,measure of energy in a thermodynamic system; thermodynamic quantity equivalent to the total heat content of a system,Q11473,thermodynamics
Q161272,social psychology,"scientific study of social causes of thoughts, feelings, and human behavior",Q113212938,social and personality psychology
Q161272,social psychology,"scientific study of social causes of thoughts, feelings, and human behavior",Q160845,sociolinguistics
Q161424,black body,idealized physical body that absorbs all incident electromagnetic radiation,Q11473,thermodynamics
Q161437,ophthalmology,field of medicine treating eye disorders,Q113129180,ophthalmology and optometry
Q184274,celestial mechanics,branch of astronomy,Q333,astronomy
Q184358,reef,feature lying beneath the surface of the water,Q104376784,reef ecology
Q184377,pronunciation,way a word or a language is spoken,Q35395,phonetics
Q184395,seawater,water from a sea or ocean,Q4782809,aquatic science
Q170082,psychosis,abnormal condition of the mind that involves hallucinations and delusions and is a symptom of any of various disorders or other causes,Q9418,psychology
Q170082,psychosis,abnormal condition of the mind that involves hallucinations and delusions and is a symptom of any of various disorders or other causes,Q7867,psychiatry
Q170084,generalization,form of abstraction whereby common properties of specific instances are formulated as general concepts or claims,Q44325,ontology
Q170156,confederation,"union of sovereign states linked by treaties, whose common government does not directly exercise its sovereignty over their territory",Q4394526,international law
