conceptQID,fieldQID
Q4536530,Q8162
Q4536544,Q8162
Q4716510,Q8162
Q5971978,Q8162
Q5985066,Q8162
Q6980152,Q8162
Q7187288,Q8162
Q7246616,Q8162
Q7550721,Q8162
Q7888721,Q8162
Q8208448,Q8162
Q9049841,Q8162
Q9371015,Q8162
Q10359037,Q8162
Q10880526,Q8162
Q11545364,Q8162
Q11953984,Q8162
Q12050496,Q8162
Q13095945,Q8162
Q13360387,Q8162
Q14623791,Q8162
Q15698788,Q8162
Q16920310,Q8162
Q17376908,Q8162
Q21082247,Q8162
Q28401531,Q8162
Q62087185,Q8162
Q66745531,Q8162
Q94255074,Q8162
Q100320664,Q8162
Q107103257,Q8162
Q110793597,Q8162
Q111280364,Q8162
Q112166731,Q8162
Q115863633,Q8162
Q115863752,Q8162
Q126154813,Q8162
Q6770803,Q8134
Q6808335,Q8134
Q6901874,Q8134
Q6901878,Q8134
Q6971735,Q8134
Q7123065,Q8134
Q7242631,Q8134
Q7246203,Q8134
Q7317959,Q8134
Q7406919,Q8134
Q7604652,Q8134
Q7644670,Q8134
Q7705439,Q8134
Q7971034,Q8134
Q9034636,Q8134
Q11279702,Q8134
Q11788909,Q8134
Q12737077,Q8134
Q12808869,Q8134
Q15079592,Q8134
Q15991228,Q8134
Q16741263,Q8134
Q17084271,Q8134
Q18206991,Q8134
Q18390969,Q8134
Q19703545,Q8134
Q19862406,Q8134
Q21623771,Q8134
Q22907981,Q8134
Q25245631,Q8134
Q25313023,Q8134
Q27628288,Q8134
Q42377786,Q8134
Q48861629,Q8134
Q65053456,Q8134
Q65063979,Q8134
Q67334229,Q8134
Q91937100,Q8134
Q109043654,Q8134
Q110460427,Q8134
Q112057623,Q8134
Q112235285,Q8134
Q113435339,Q8134
Q115471543,Q8134
Q116975391,Q8134
Q124061585,Q8134
Q130333052,Q8134
Q130348200,Q8134
Q131755625,Q8134
Q194980,Q8134
Q202875,Q8134
Q208697,Q8134
Q248367,Q8134
Q253623,Q8134
Q273005,Q8134
Q281682,Q8134
Q282825,Q8134
Q311198,Q8134
Q319808,Q8134
Q330284,Q8134
Q358063,Q8134
Q370089,Q8134
Q379579,Q8134
Q443204,Q8134
Q451299,Q8134
Q464469,Q8134
Q467205,Q8134
