instruction_nr,nr_of_shots,expert_pattern,temperature,precision,recall,f1,time
1,0,0,0.9,0.86,0.77,0.81,0.63
1,0,0,0.2,0.87,0.77,0.81,0.65
1,0,0,0.2,0.85,0.81,0.83,0.78
1,0,0,0.2,0.84,0.82,0.83,0.66
1,0,0,0.2,0.86,0.79,0.82,0.65
1,0,0,0.2,0.86,0.79,0.82,0.78
1,0,0,0.2,0.84,0.80,0.82,0.64
1,0,0,0.2,0.85,0.80,0.83,0.66
1,0,0,0.2,0.85,0.80,0.83,0.77
1,0,0,0.2,0.84,0.78,0.81,0.74
1,0,0,0.2,0.86,0.78,0.82,0.62
1,0,0,0.2,0.86,0.79,0.82,0.66
1,0,0,0.2,0.85,0.80,0.82,0.68
1,0,0,0.2,0.85,0.81,0.83,0.70
1,0,0,0.2,0.87,0.78,0.82,0.65
1,0,0,0.2,0.86,0.79,0.82,0.75
1,0,0,0.2,0.84,0.80,0.82,0.80
1,0,0,0.2,0.85,0.80,0.82,0.64
1,0,0,0.2,0.86,0.78,0.82,0.65
1,0,0,0.2,0.85,0.80,0.82,0.71
1,0,0,0.2,0.84,0.79,0.81,0.65
1,0,0,0.2,0.84,0.81,0.82,0.79
1,0,0,0.4,0.85,0.80,0.83,0.66
1,0,0,0.4,0.88,0.78,0.83,0.67
1,0,0,0.4,0.84,0.79,0.81,0.75
1,0,0,0.4,0.84,0.78,0.81,0.64
1,0,0,0.4,0.86,0.79,0.82,0.66
1,0,0,0.4,0.84,0.79,0.81,0.68
1,0,0,0.4,0.86,0.77,0.81,0.63
1,0,0,0.4,0.86,0.78,0.82,0.75
1,0,0,0.4,0.85,0.78,0.81,0.65
1,0,0,0.4,0.86,0.76,0.81,0.76
1,0,0,0.4,0.86,0.79,0.82,0.62
1,0,0,0.4,0.86,0.77,0.81,0.63
1,0,0,0.4,0.86,0.79,0.82,0.66
1,0,0,0.4,0.84,0.81,0.82,0.77
1,0,0,0.4,0.85,0.78,0.81,0.63
1,0,0,0.4,0.86,0.79,0.83,0.77
1,0,0,0.4,0.86,0.78,0.82,0.72
1,0,0,0.4,0.85,0.75,0.80,0.62
1,0,0,0.4,0.85,0.79,0.82,0.74
1,0,0,0.4,0.85,0.79,0.82,0.73
1,0,0,0.6,0.84,0.77,0.80,0.65
1,0,0,0.6,0.85,0.76,0.81,0.62
1,0,0,0.6,0.86,0.78,0.82,0.65
1,0,0,0.6,0.84,0.79,0.81,0.64
1,0,0,0.6,0.86,0.79,0.82,0.66
1,0,0,0.6,0.85,0.76,0.80,0.77
1,0,0,0.6,0.84,0.79,0.82,0.95
1,0,0,0.6,0.85,0.79,0.82,0.63
