instruction_nr,nr_of_shots,expert_pattern,temperature,precision,recall,f1,time
1,1,1,0.0,0.88,0.80,0.84,0.52
1,1,1,0.0,0.88,0.80,0.84,0.50
1,1,1,0.0,0.88,0.79,0.83,0.52
1,1,1,0.0,0.88,0.80,0.84,0.50
1,1,1,0.0,0.87,0.78,0.83,0.52
1,1,1,0.0,0.88,0.79,0.84,0.51
1,1,1,0.0,0.86,0.77,0.81,0.55
1,1,1,0.0,0.88,0.79,0.83,0.48
1,1,1,0.0,0.87,0.79,0.83,0.51
1,1,1,0.0,0.87,0.77,0.82,0.51
1,1,1,0.2,0.89,0.80,0.84,0.50
1,1,1,0.2,0.89,0.80,0.84,0.51
1,1,1,0.2,0.89,0.79,0.84,0.49
1,1,1,0.2,0.89,0.80,0.84,0.50
1,1,1,0.2,0.87,0.78,0.82,0.51
1,1,1,0.2,0.87,0.78,0.82,0.51
1,1,1,0.2,0.89,0.79,0.84,0.50
1,1,1,0.2,0.87,0.80,0.83,0.51
1,1,1,0.2,0.88,0.79,0.83,0.53
1,1,1,0.2,0.86,0.78,0.82,0.50
1,1,1,2.0,0.83,0.75,0.79,0.52
1,1,1,2.0,0.83,0.77,0.80,0.53
1,1,1,2.0,0.84,0.75,0.79,0.54
1,1,1,2.0,0.88,0.79,0.83,0.52
1,1,1,2.0,0.87,0.76,0.81,0.49
1,1,1,2.0,0.84,0.78,0.81,0.51
1,1,1,2.0,0.86,0.82,0.84,0.52
1,1,1,2.0,0.84,0.77,0.81,0.51
1,1,1,2.0,0.82,0.79,0.81,0.52
1,1,1,2.0,0.85,0.77,0.81,0.51
1,1,1,1.0,0.88,0.77,0.82,0.52
1,1,1,1.0,0.86,0.79,0.82,0.55
1,1,1,1.0,0.87,0.80,0.83,0.52
1,1,1,1.0,0.84,0.79,0.81,0.53
1,1,1,1.0,0.85,0.79,0.82,0.54
1,1,1,1.0,0.84,0.79,0.81,0.51
1,1,1,1.0,0.87,0.79,0.83,0.56
1,1,1,1.0,0.86,0.78,0.82,0.50
1,1,1,1.0,0.88,0.79,0.83,0.52
1,1,1,1.0,0.84,0.79,0.82,0.52
1,0,1,0.0,0.86,0.82,0.84,0.54
1,0,1,0.0,0.86,0.83,0.84,0.54
1,0,1,0.0,0.86,0.83,0.84,0.55
1,0,1,0.0,0.86,0.82,0.84,0.55
1,0,1,0.0,0.85,0.82,0.83,0.53
1,0,1,0.0,0.86,0.82,0.84,0.54
1,0,1,0.0,0.86,0.82,0.84,0.51
1,0,1,0.0,0.86,0.83,0.85,0.51
1,0,1,0.0,0.86,0.83,0.84,0.52
1,0,1,0.0,0.86,0.82,0.84,0.53
1,0,1,1.0,0.84,0.78,0.81,0.53
1,0,1,1.0,0.83,0.81,0.82,0.54
1,0,1,1.0,0.82,0.80,0.81,0.55
1,0,1,1.0,0.84,0.82,0.83,0.55
1,0,1,1.0,0.86,0.81,0.83,0.53
1,0,1,1.0,0.85,0.81,0.83,0.54
1,0,1,1.0,0.86,0.79,0.82,0.56
1,0,1,1.0,0.84,0.81,0.82,0.53
1,0,1,1.0,0.82,0.81,0.81,0.55
1,0,1,1.0,0.84,0.81,0.82,0.58
1,0,1,0.2,0.86,0.82,0.84,0.59
1,0,1,0.2,0.85,0.82,0.83,0.58
1,0,1,0.2,0.86,0.83,0.85,0.67
1,0,1,0.2,0.87,0.82,0.84,0.55
1,0,1,0.2,0.86,0.82,0.84,0.64
1,0,1,0.2,0.85,0.80,0.83,0.57
1,0,1,0.2,0.86,0.82,0.84,0.59
1,0,1,0.2,0.87,0.83,0.85,0.58
1,0,1,0.2,0.85,0.82,0.83,0.60
1,0,1,0.2,0.86,0.82,0.84,0.56
1,0,1,2.0,0.81,0.79,0.80,0.61
1,0,1,2.0,0.82,0.76,0.79,0.52
1,0,1,2.0,0.82,0.79,0.81,0.59
1,0,1,2.0,0.85,0.80,0.82,0.59
1,0,1,2.0,0.81,0.78,0.79,0.59
1,0,1,2.0,0.81,0.80,0.80,0.62
1,0,1,2.0,0.84,0.78,0.81,0.58
1,0,1,2.0,0.83,0.78,0.80,0.58
1,0,1,2.0,0.84,0.80,0.82,0.56
1,0,1,2.0,0.83,0.80,0.81,0.59
1,2,1,0.2,0.85,0.79,0.82,0.57
1,2,1,0.2,0.86,0.81,0.84,0.57
1,2,1,0.2,0.84,0.80,0.82,0.55
1,2,1,0.2,0.84,0.81,0.83,0.52
1,2,1,0.2,0.85,0.81,0.83,0.55
1,2,1,0.2,0.85,0.83,0.84,0.53
1,2,1,0.2,0.85,0.83,0.84,0.56
1,2,1,0.2,0.87,0.83,0.85,0.59
1,2,1,0.2,0.86,0.82,0.84,0.55
1,2,1,0.2,0.85,0.81,0.83,0.58
1,2,1,2.0,0.86,0.80,0.83,0.56
1,2,1,2.0,0.86,0.80,0.83,0.57
1,2,1,2.0,0.86,0.79,0.82,0.52
1,2,1,2.0,0.83,0.84,0.83,0.58
1,2,1,2.0,0.86,0.80,0.83,0.52
1,2,1,2.0,0.87,0.77,0.81,0.52
1,2,1,2.0,0.88,0.81,0.84,0.55
1,2,1,2.0,0.84,0.79,0.82,0.56
1,2,1,2.0,0.84,0.80,0.82,0.58
1,2,1,2.0,0.86,0.79,0.82,0.51
1,2,1,1.0,0.87,0.82,0.84,0.56
1,2,1,1.0,0.87,0.80,0.83,0.52
1,2,1,1.0,0.85,0.81,0.83,0.55
1,2,1,1.0,0.86,0.82,0.84,0.52
1,2,1,1.0,0.85,0.78,0.82,0.54
1,2,1,1.0,0.87,0.79,0.83,0.56
1,2,1,1.0,0.86,0.81,0.84,0.57
1,2,1,1.0,0.86,0.82,0.84,0.55
1,2,1,1.0,0.84,0.79,0.81,0.57
1,2,1,1.0,0.87,0.81,0.84,0.53
1,2,1,0.0,0.86,0.83,0.85,0.54
1,2,1,0.0,0.86,0.82,0.84,0.55
1,2,1,0.0,0.87,0.80,0.83,0.55
1,2,1,0.0,0.87,0.82,0.84,0.68
1,2,1,0.0,0.85,0.81,0.83,0.55
1,2,1,0.0,0.85,0.83,0.84,0.57
1,2,1,0.0,0.86,0.82,0.84,0.57
1,2,1,0.0,0.86,0.83,0.85,0.55
1,2,1,0.0,0.85,0.82,0.83,0.55
1,2,1,0.0,0.86,0.82,0.84,0.54
1,2,0,0.0,0.85,0.82,0.84,0.69
1,2,0,0.0,0.88,0.85,0.86,0.72
1,0,0,0.0,0.88,0.81,0.84,0.72
1,0,0,0.0,0.89,0.82,0.86,0.73
