,discipline,disciplineLabel,disciplineDescription,parentDisciplines
0,http://www.wikidata.org/entity/Q113212205,"Aboriginal and Torres Strait Islander peoples, society and community",field of research,
1,http://www.wikidata.org/entity/Q109984814,Aboriginal and Torres Strait Islander studies,academic field,
2,http://www.wikidata.org/entity/Q15995649,Accounting research,,
3,http://www.wikidata.org/entity/Q383968,African American studies,academic field focusing on peoples of the African diaspora and Africa,
4,http://www.wikidata.org/entity/Q38157,African studies,"field of academic study of Africa, especially the continent's cultures and societies",
5,http://www.wikidata.org/entity/Q37542,Africana studies,field of academic study of the African diaspora,
6,http://www.wikidata.org/entity/Q120187797,Aglipayan ecclesiology,Theological study of the Philippine Independent Church,ecclesiology
7,http://www.wikidata.org/entity/Q25482005,Al-Farabi studies,,
8,http://www.wikidata.org/entity/Q115669282,Algerian studies,Broader: African studies,
9,http://www.wikidata.org/entity/Q4724367,Algorithmic mechanism design,the design of economic systems from an algorithmic point of view,
10,http://www.wikidata.org/entity/Q233762,American literature,literature written by Americans or related to the United States,North American literature
11,http://www.wikidata.org/entity/Q470125,American studies,"interdisciplinary academic field focused on American history, society and culture",humanities
12,http://www.wikidata.org/entity/Q110164233,Americanism,study of the Americas,
13,http://www.wikidata.org/entity/Q3615122,Anatolian studies,,
14,http://www.wikidata.org/entity/Q115669295,Angolan studies,Broader: African studies,
15,http://www.wikidata.org/entity/Q112939936,Animal cell and molecular biology,field of research,
16,http://www.wikidata.org/entity/Q30082957,Arabian philology,,
17,http://www.wikidata.org/entity/Q85873793,Arabic Language Studies,academic discipline,
18,http://www.wikidata.org/entity/Q3621186,Arabic studies,study of the Arabs and Arab world,oriental studies
19,http://www.wikidata.org/entity/Q625699,Aramaic  studies,study of the Aramaic language and Syriac Christianity,
20,http://www.wikidata.org/entity/Q513850,Armenian studies,field of research,
21,http://www.wikidata.org/entity/Q119441624,Arthurian Studies,field of study,
22,http://www.wikidata.org/entity/Q4806576,Asian American studies,Academic study of Asian American history and experiences,
23,http://www.wikidata.org/entity/Q4806809,Asian studies,"study of Asia and Asian history, cultures, languages, etc.",
24,http://www.wikidata.org/entity/Q156859,Assyriology,study of ancient Mesopotamian cultures and languages,
25,http://www.wikidata.org/entity/Q778187,Atmospheric dispersion modeling,mathematical simulation of how air pollutants disperse in the ambient atmosphere,
26,http://www.wikidata.org/entity/Q4825228,Australian studies,academic field of cultural studies of Australia,
27,http://www.wikidata.org/entity/Q104870168,Automation in construction,"combination of methods, processes, and systems",automation
28,http://www.wikidata.org/entity/Q18110384,Bangla studies,academic field studying the Bengali culture,
29,http://www.wikidata.org/entity/Q4874481,Bayesian statistics,statistics theory that uses Bayes’ theorem to compute and update probabilities after obtaining new data,
30,http://www.wikidata.org/entity/Q816139,Belarusian studies,science dedicated to Belarus research,
31,http://www.wikidata.org/entity/Q2482496,Berestology,study of birch bark manuscripts,palaeography
32,http://www.wikidata.org/entity/Q105760881,Branch Of Sociology,area of sociology,sociology
33,http://www.wikidata.org/entity/Q114562193,Brussels studies,"interdisciplinary academic field focused on Brusselian history, society and culture",
34,http://www.wikidata.org/entity/Q1000976,Buddhist studies,academic study of Buddhism,
35,http://www.wikidata.org/entity/Q5258544,Buddhology,,
36,http://www.wikidata.org/entity/Q112969975,Building information modelling and management,field of research,
37,http://www.wikidata.org/entity/Q4090659,Bulgarian studies,academic discipline,
38,http://www.wikidata.org/entity/Q115669827,Burkina Faso studies,Broader: African studies,
39,http://www.wikidata.org/entity/Q4999358,Burma studies,"study of Burma (Myanmar) and Burmese history, culture, etc.",
40,http://www.wikidata.org/entity/Q24208053,Business Economics,certain section of the economical sciences and an academic discipline applied to organisations in the business world (so to say: applied to enterprises),
41,http://www.wikidata.org/entity/Q115669332,Cameroon studies,Broader: African studies,
42,http://www.wikidata.org/entity/Q4676302,Canadian studies,"academic field studying Canadian culture and society, history, government, literature, etc.",
43,http://www.wikidata.org/entity/Q115669342,Cape Verde studies,Broader: African studies,
44,http://www.wikidata.org/entity/Q85710429,Caribbean studies,study of cultures associated with the Caribbean Sea region,
45,http://www.wikidata.org/entity/Q124623978,Cartography & GIS,field of study at university / college/institute/academy,earth science studies
46,http://www.wikidata.org/entity/Q1735560,Catalan philology,,
47,http://www.wikidata.org/entity/Q25109832,Catholic ecclesiology,theological study of the Catholic Church,ecclesiology
48,http://www.wikidata.org/entity/Q5060376,Central Asian studies,academic discipline,
49,http://www.wikidata.org/entity/Q128994649,Cestodology,,
50,http://www.wikidata.org/entity/Q5095927,Chicana/o studies,"study of Chicana/os, Latina/os and Mexican-Americans",
51,http://www.wikidata.org/entity/Q5369632,Chinese Classical Studies,,
52,http://www.wikidata.org/entity/Q67312597,Chinese lexicology,,lexicology
53,http://www.wikidata.org/entity/Q456012,Chinese literature,literary works in Chinese language,
54,http://www.wikidata.org/entity/Q2665156,Christian ethics,branch of Christian theology that defines virtuous behavior and wrong behavior from a Christian perspective,
55,http://www.wikidata.org/entity/Q8011708,Classical Chinese semantics,,
56,http://www.wikidata.org/entity/Q112939719,Classical Greek and Roman history,field of research,history of Europe
57,http://www.wikidata.org/entity/Q124610929,Cognitive cartography,subdiscipline of cartography,
